Location_ID,Season,Area_Type,Geogenic_Evidence,Anthropogenic_Evidence,Mixed_Evidence,N_Geogenic,N_Anthropogenic,N_Mixed,Dominant_Source,Confidence
DY-1,Premonsoon,DY,"Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); Fe=0.32 (>0.3, laterite/weathering); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering)",NO₃=19.7 (>NBL 10 mg/L); PIG=3.639 (moderate-high pollution),Na/Cl≈1 (halite possible),6,2,1,Geogenic,Moderate
DY-2,Premonsoon,DY,"Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); Fe=0.34 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",NO₃=25.3 (>NBL 10 mg/L); Cl=55.5 (>NBL 50 mg/L); PIG=3.884 (moderate-high pollution),Na/Cl≈1 (halite possible),5,3,1,Mixed,Moderate
DY-3,Premonsoon,DY,Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); Gibbs: Rock-water interaction,NO₃=19.0 (>NBL 10 mg/L); PIG=2.652 (moderate-high pollution),Na/Cl≈1 (halite possible),4,2,1,Mixed,Moderate
DY-4,Premonsoon,DY,"Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); Fe=0.39 (>0.3, laterite/weathering); Gibbs: Rock-water interaction",NO₃=42.9 (>NBL 10 mg/L); PIG=4.443 (moderate-high pollution),Na/Cl≈1 (halite possible),5,2,1,Geogenic,Moderate
DY-5,Premonsoon,DY,Ca/Mg>2 (silicate weathering); Gibbs: Rock-water interaction,NO₃=37.2 (>NBL 10 mg/L); PIG=2.768 (moderate-high pollution),Na/Cl≈1 (halite possible); CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,2,3,Mixed,Moderate
PD-1,Monsoon,PD,Na/Cl>1.2 (silicate weathering); Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); Gibbs: Rock-water interaction,NO₃=38.4 (>NBL 10 mg/L); Cl=60.9 (>NBL 50 mg/L),,5,2,0,Geogenic,Moderate
PD-2,Monsoon,PD,"Na/Cl>1.2 (silicate weathering); Ca/Mg 1-2 (calcite/dolomite); CAI<0 (direct ion exchange); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); NO₃=3.5 (within NBL); Fe=0.38 (>0.3, laterite/weathering); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering)",PIG=4.394 (moderate-high pollution),,8,1,0,Geogenic,High
PD-3,Monsoon,PD,Ca/Mg>2 (silicate weathering); Gibbs: Rock-water interaction,Na/Cl<0.8 (reverse ion exchange / anthropogenic Cl); NO₃=36.8 (>NBL 10 mg/L); Cl=152.6 (>NBL 50 mg/L); PIG=3.317 (moderate-high pollution),CAI>0 (reverse ion exchange); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),2,4,2,Mixed,Moderate
PD-4,Monsoon,PD,Na/Cl>1.2 (silicate weathering); Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); (Ca+Mg)/(HCO₃+SO₄)≈1 (weathering); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering),NO₃=11.2 (>NBL 10 mg/L); Cl=56.0 (>NBL 50 mg/L); PIG=2.073 (moderate-high pollution),,6,3,0,Geogenic,Moderate
PD-5,Monsoon,PD,Ca/Mg>2 (silicate weathering); CAI<0 (direct ion exchange); Gibbs: Rock-water interaction; HCO₃ dominant anion (weathering),NO₃=27.0 (>NBL 10 mg/L); PIG=3.131 (moderate-high pollution),Na/Cl≈1 (halite possible); (Ca+Mg)/(HCO₃+SO₄)>1 (reverse ion exch.),4,2,2,Mixed,Moderate
